Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
1	Holden_Lake	27	294	7	24	2	0	2	1	3	0
1	13-P-10	30	15	12	0	12	12	0	7	2	1
1	13-P-8	83	25	43	0	18	17	0	3	0	3
1	13-N-5	35	11	33	0	0	0	0	0	0	0
1	13-N-4	71	67	96	0	3	4	0	0	0	0
1	13-N-16	42	56	69	0	1	3	0	0	0	0
1	13-O-10	60	74	79	0	2	8	0	2	0	0
1	10-P-1	39	62	46	0	0	0	0	0	0	6
1	13-O-11	35	65	24	0	0	2	0	1	0	1
1	13-O-7	590	498	67	10	21	19	12	8	7	1
1	12-O-5	204	156	42	7	8	4	2	1	0	0
1	13-N-15	728	364	160	9	5	8	14	3	7	2
1	12-N-3	549	328	77	19	4	0	3	1	2	0
1	13-O-5	923	637	42	12	33	27	14	13	5	2
1	11-N-4	764	470	18	5	9	0	0	0	0	0
1	11-O-10	404	208	6	16	4	0	0	0	0	0
1	11-N-1	865	323	59	17	35	0	0	0	4	0
1	11-N-9	528	198	13	0	19	0	0	0	0	0
1	13-P-1	244	40	18	1	16	21	0	14	0	6
1	13-N-21	426	69	105	4	4	0	1	4	1	0

2	13-N-21	426	69	105	4	4	0	1	4	1	0
2	13-P-1	244	40	18	1	16	21	0	14	0	6
2	11-N-1	865	323	59	17	35	0	0	0	4	0
2	11-N-9	528	198	13	0	19	0	0	0	0	0
2	11-O-10	404	208	6	16	4	0	0	0	0	0
2	11-N-4	764	470	18	5	9	0	0	0	0	0
2	13-O-5	923	637	42	12	33	27	14	13	5	2
2	12-N-3	549	328	77	19	4	0	3	1	2	0
2	13-N-15	728	364	160	9	5	8	14	3	7	2
2	12-O-5	204	156	42	7	8	4	2	1	0	0
2	13-O-7	590	498	67	10	21	19	12	8	7	1
2	13-O-11	35	65	24	0	0	2	0	1	0	1
2	10-P-1	39	62	46	0	0	0	0	0	0	6
2	13-O-10	60	74	79	0	2	8	0	2	0	0
2	13-N-16	42	56	69	0	1	3	0	0	0	0
2	13-N-4	71	67	96	0	3	4	0	0	0	0
2	13-N-5	35	11	33	0	0	0	0	0	0	0
2	13-P-8	83	25	43	0	18	17	0	3	0	3
2	13-P-10	30	15	12	0	12	12	0	7	2	1
2	Holden_Lake	27	294	7	24	2	0	2	1	3	0

3	13-N-21	426	69	105	4	4	0	1	4	1	0
3	13-P-1	244	40	18	1	16	21	0	14	0	6
3	13-O-5	923	637	42	12	33	27	14	13	5	2
3	11-N-4	764	470	18	5	9	0	0	0	0	0
3	11-O-10	404	208	6	16	4	0	0	0	0	0
3	11-N-9	528	198	13	0	19	0	0	0	0	0
3	11-N-1	865	323	59	17	35	0	0	0	4	0
3	13-N-15	728	364	160	9	5	8	14	3	7	2
3	12-N-3	549	328	77	19	4	0	3	1	2	0
3	12-O-5	204	156	42	7	8	4	2	1	0	0
3	13-O-7	590	498	67	10	21	19	12	8	7	1
3	13-O-11	35	65	24	0	0	2	0	1	0	1
3	10-P-1	39	62	46	0	0	0	0	0	0	6
3	13-O-10	60	74	79	0	2	8	0	2	0	0
3	13-N-16	42	56	69	0	1	3	0	0	0	0
3	13-N-4	71	67	96	0	3	4	0	0	0	0
3	13-N-5	35	11	33	0	0	0	0	0	0	0
3	13-P-8	83	25	43	0	18	17	0	3	0	3
3	13-P-10	30	15	12	0	12	12	0	7	2	1
3	Holden_Lake	27	294	7	24	2	0	2	1	3	0

4	Holden_Lake	27	294	7	24	2	0	2	1	3	0
4	13-P-10	30	15	12	0	12	12	0	7	2	1
4	13-P-8	83	25	43	0	18	17	0	3	0	3
4	13-N-5	35	11	33	0	0	0	0	0	0	0
4	13-N-4	71	67	96	0	3	4	0	0	0	0
4	13-N-16	42	56	69	0	1	3	0	0	0	0
4	13-O-10	60	74	79	0	2	8	0	2	0	0
4	10-P-1	39	62	46	0	0	0	0	0	0	6
4	13-O-11	35	65	24	0	0	2	0	1	0	1
4	13-O-7	590	498	67	10	21	19	12	8	7	1
4	12-O-5	204	156	42	7	8	4	2	1	0	0
4	12-N-3	549	328	77	19	4	0	3	1	2	0
4	13-N-15	728	364	160	9	5	8	14	3	7	2
4	11-N-1	865	323	59	17	35	0	0	0	4	0
4	11-N-9	528	198	13	0	19	0	0	0	0	0
4	11-O-10	404	208	6	16	4	0	0	0	0	0
4	11-N-4	764	470	18	5	9	0	0	0	0	0
4	13-O-5	923	637	42	12	33	27	14	13	5	2
4	13-P-1	244	40	18	1	16	21	0	14	0	6
4	13-N-21	426	69	105	4	4	0	1	4	1	0

5	13-N-21	426	69	105	4	4	0	1	4	1	0
5	13-P-1	244	40	18	1	16	21	0	14	0	6
5	13-O-5	923	637	42	12	33	27	14	13	5	2
5	11-N-4	764	470	18	5	9	0	0	0	0	0
5	11-O-10	404	208	6	16	4	0	0	0	0	0
5	11-N-9	528	198	13	0	19	0	0	0	0	0
5	11-N-1	865	323	59	17	35	0	0	0	4	0
5	13-N-15	728	364	160	9	5	8	14	3	7	2
5	12-N-3	549	328	77	19	4	0	3	1	2	0
5	12-O-5	204	156	42	7	8	4	2	1	0	0
5	13-O-7	590	498	67	10	21	19	12	8	7	1
5	13-O-11	35	65	24	0	0	2	0	1	0	1
5	10-P-1	39	62	46	0	0	0	0	0	0	6
5	13-O-10	60	74	79	0	2	8	0	2	0	0
5	13-N-16	42	56	69	0	1	3	0	0	0	0
5	13-N-4	71	67	96	0	3	4	0	0	0	0
5	13-N-5	35	11	33	0	0	0	0	0	0	0
5	13-P-8	83	25	43	0	18	17	0	3	0	3
5	13-P-10	30	15	12	0	12	12	0	7	2	1
5	Holden_Lake	27	294	7	24	2	0	2	1	3	0

6	Holden_Lake	27	294	7	24	2	0	2	1	3	0
6	13-O-11	35	65	24	0	0	2	0	1	0	1
6	10-P-1	39	62	46	0	0	0	0	0	0	6
6	13-O-10	60	74	79	0	2	8	0	2	0	0
6	13-N-16	42	56	69	0	1	3	0	0	0	0
6	13-N-4	71	67	96	0	3	4	0	0	0	0
6	13-N-5	35	11	33	0	0	0	0	0	0	0
6	13-P-8	83	25	43	0	18	17	0	3	0	3
6	13-P-10	30	15	12	0	12	12	0	7	2	1
6	12-O-5	204	156	42	7	8	4	2	1	0	0
6	13-O-7	590	498	67	10	21	19	12	8	7	1
6	13-O-5	923	637	42	12	33	27	14	13	5	2
6	11-N-4	764	470	18	5	9	0	0	0	0	0
6	11-O-10	404	208	6	16	4	0	0	0	0	0
6	11-N-1	865	323	59	17	35	0	0	0	4	0
6	11-N-9	528	198	13	0	19	0	0	0	0	0
6	12-N-3	549	328	77	19	4	0	3	1	2	0
6	13-N-15	728	364	160	9	5	8	14	3	7	2
6	13-N-21	426	69	105	4	4	0	1	4	1	0
6	13-P-1	244	40	18	1	16	21	0	14	0	6

7	13-N-5	35	11	33	0	0	0	0	0	0	0
7	13-N-21	426	69	105	4	4	0	1	4	1	0
7	13-P-1	244	40	18	1	16	21	0	14	0	6
7	11-N-9	528	198	13	0	19	0	0	0	0	0
7	11-N-1	865	323	59	17	35	0	0	0	4	0
7	11-O-10	404	208	6	16	4	0	0	0	0	0
7	11-N-4	764	470	18	5	9	0	0	0	0	0
7	13-O-5	923	637	42	12	33	27	14	13	5	2
7	13-O-7	590	498	67	10	21	19	12	8	7	1
7	12-O-5	204	156	42	7	8	4	2	1	0	0
7	12-N-3	549	328	77	19	4	0	3	1	2	0
7	13-N-15	728	364	160	9	5	8	14	3	7	2
7	13-P-8	83	25	43	0	18	17	0	3	0	3
7	13-P-10	30	15	12	0	12	12	0	7	2	1
7	13-O-10	60	74	79	0	2	8	0	2	0	0
7	13-N-16	42	56	69	0	1	3	0	0	0	0
7	13-N-4	71	67	96	0	3	4	0	0	0	0
7	10-P-1	39	62	46	0	0	0	0	0	0	6
7	13-O-11	35	65	24	0	0	2	0	1	0	1
7	Holden_Lake	27	294	7	24	2	0	2	1	3	0

8	Holden_Lake	27	294	7	24	2	0	2	1	3	0
8	13-P-10	30	15	12	0	12	12	0	7	2	1
8	13-P-8	83	25	43	0	18	17	0	3	0	3
8	13-N-5	35	11	33	0	0	0	0	0	0	0
8	13-N-4	71	67	96	0	3	4	0	0	0	0
8	13-N-16	42	56	69	0	1	3	0	0	0	0
8	13-O-10	60	74	79	0	2	8	0	2	0	0
8	10-P-1	39	62	46	0	0	0	0	0	0	6
8	13-O-11	35	65	24	0	0	2	0	1	0	1
8	13-O-7	590	498	67	10	21	19	12	8	7	1
8	12-O-5	204	156	42	7	8	4	2	1	0	0
8	12-N-3	549	328	77	19	4	0	3	1	2	0
8	13-N-15	728	364	160	9	5	8	14	3	7	2
8	11-N-1	865	323	59	17	35	0	0	0	4	0
8	11-N-9	528	198	13	0	19	0	0	0	0	0
8	11-O-10	404	208	6	16	4	0	0	0	0	0
8	11-N-4	764	470	18	5	9	0	0	0	0	0
8	13-O-5	923	637	42	12	33	27	14	13	5	2
8	13-P-1	244	40	18	1	16	21	0	14	0	6
8	13-N-21	426	69	105	4	4	0	1	4	1	0

9	Holden_Lake	27	294	7	24	2	0	2	1	3	0
9	13-P-10	30	15	12	0	12	12	0	7	2	1
9	13-P-8	83	25	43	0	18	17	0	3	0	3
9	13-N-5	35	11	33	0	0	0	0	0	0	0
9	13-N-4	71	67	96	0	3	4	0	0	0	0
9	13-N-16	42	56	69	0	1	3	0	0	0	0
9	13-O-10	60	74	79	0	2	8	0	2	0	0
9	10-P-1	39	62	46	0	0	0	0	0	0	6
9	13-O-11	35	65	24	0	0	2	0	1	0	1
9	13-O-7	590	498	67	10	21	19	12	8	7	1
9	12-O-5	204	156	42	7	8	4	2	1	0	0
9	12-N-3	549	328	77	19	4	0	3	1	2	0
9	13-N-15	728	364	160	9	5	8	14	3	7	2
9	11-N-1	865	323	59	17	35	0	0	0	4	0
9	11-N-9	528	198	13	0	19	0	0	0	0	0
9	11-O-10	404	208	6	16	4	0	0	0	0	0
9	11-N-4	764	470	18	5	9	0	0	0	0	0
9	13-O-5	923	637	42	12	33	27	14	13	5	2
