Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
1	10-P-1	39	62	46	0	0	0	0	0	0	6
1	13-O-10	60	74	79	0	2	8	0	2	0	0
1	11-N-9	528	198	13	0	19	0	0	0	0	0

2	11-O-10	404	208	6	16	4	0	0	0	0	0
2	13-O-10	60	74	79	0	2	8	0	2	0	0
2	11-N-9	528	198	13	0	19	0	0	0	0	0

3	11-O-10	404	208	6	16	4	0	0	0	0	0
3	10-P-1	39	62	46	0	0	0	0	0	0	6
3	11-N-9	528	198	13	0	19	0	0	0	0	0

4	11-O-10	404	208	6	16	4	0	0	0	0	0
4	10-P-1	39	62	46	0	0	0	0	0	0	6
4	13-O-10	60	74	79	0	2	8	0	2	0	0

5	12-N-3	549	328	77	19	4	0	3	1	2	0
5	13-O-10	60	74	79	0	2	8	0	2	0	0
5	11-N-9	528	198	13	0	19	0	0	0	0	0

6	12-N-3	549	328	77	19	4	0	3	1	2	0
6	10-P-1	39	62	46	0	0	0	0	0	0	6
6	11-N-9	528	198	13	0	19	0	0	0	0	0

7	12-N-3	549	328	77	19	4	0	3	1	2	0
7	10-P-1	39	62	46	0	0	0	0	0	0	6
7	13-O-10	60	74	79	0	2	8	0	2	0	0

8	12-N-3	549	328	77	19	4	0	3	1	2	0
8	11-O-10	404	208	6	16	4	0	0	0	0	0
8	11-N-9	528	198	13	0	19	0	0	0	0	0

9	12-N-3	549	328	77	19	4	0	3	1	2	0
9	11-O-10	404	208	6	16	4	0	0	0	0	0
9	13-O-10	60	74	79	0	2	8	0	2	0	0

10	12-N-3	549	328	77	19	4	0	3	1	2	0
10	11-O-10	404	208	6	16	4	0	0	0	0	0
10	10-P-1	39	62	46	0	0	0	0	0	0	6

11	11-N-1	865	323	59	17	35	0	0	0	4	0
11	13-O-10	60	74	79	0	2	8	0	2	0	0
11	11-N-9	528	198	13	0	19	0	0	0	0	0

12	11-N-1	865	323	59	17	35	0	0	0	4	0
12	10-P-1	39	62	46	0	0	0	0	0	0	6
12	11-N-9	528	198	13	0	19	0	0	0	0	0

13	11-N-1	865	323	59	17	35	0	0	0	4	0
13	10-P-1	39	62	46	0	0	0	0	0	0	6
13	13-O-10	60	74	79	0	2	8	0	2	0	0

14	11-N-1	865	323	59	17	35	0	0	0	4	0
14	11-O-10	404	208	6	16	4	0	0	0	0	0
14	11-N-9	528	198	13	0	19	0	0	0	0	0

15	11-N-1	865	323	59	17	35	0	0	0	4	0
15	11-O-10	404	208	6	16	4	0	0	0	0	0
15	13-O-10	60	74	79	0	2	8	0	2	0	0

16	11-N-1	865	323	59	17	35	0	0	0	4	0
16	11-O-10	404	208	6	16	4	0	0	0	0	0
16	10-P-1	39	62	46	0	0	0	0	0	0	6

17	11-N-1	865	323	59	17	35	0	0	0	4	0
17	12-N-3	549	328	77	19	4	0	3	1	2	0
17	11-N-9	528	198	13	0	19	0	0	0	0	0

18	11-N-1	865	323	59	17	35	0	0	0	4	0
18	12-N-3	549	328	77	19	4	0	3	1	2	0
18	13-O-10	60	74	79	0	2	8	0	2	0	0

19	11-N-1	865	323	59	17	35	0	0	0	4	0
19	12-N-3	549	328	77	19	4	0	3	1	2	0
19	10-P-1	39	62	46	0	0	0	0	0	0	6

20	11-N-1	865	323	59	17	35	0	0	0	4	0
20	12-N-3	549	328	77	19	4	0	3	1	2	0
20	11-O-10	404	208	6	16	4	0	0	0	0	0

21	13-O-5	923	637	42	12	33	27	14	13	5	2
21	13-O-10	60	74	79	0	2	8	0	2	0	0
21	11-N-9	528	198	13	0	19	0	0	0	0	0

22	13-O-5	923	637	42	12	33	27	14	13	5	2
22	10-P-1	39	62	46	0	0	0	0	0	0	6
22	11-N-9	528	198	13	0	19	0	0	0	0	0

23	13-O-5	923	637	42	12	33	27	14	13	5	2
23	10-P-1	39	62	46	0	0	0	0	0	0	6
23	13-O-10	60	74	79	0	2	8	0	2	0	0

24	13-O-5	923	637	42	12	33	27	14	13	5	2
24	11-O-10	404	208	6	16	4	0	0	0	0	0
24	11-N-9	528	198	13	0	19	0	0	0	0	0

25	13-O-5	923	637	42	12	33	27	14	13	5	2
25	11-O-10	404	208	6	16	4	0	0	0	0	0
25	13-O-10	60	74	79	0	2	8	0	2	0	0

26	13-O-5	923	637	42	12	33	27	14	13	5	2
26	11-O-10	404	208	6	16	4	0	0	0	0	0
26	10-P-1	39	62	46	0	0	0	0	0	0	6

27	13-O-5	923	637	42	12	33	27	14	13	5	2
27	12-N-3	549	328	77	19	4	0	3	1	2	0
27	11-N-9	528	198	13	0	19	0	0	0	0	0

28	13-O-5	923	637	42	12	33	27	14	13	5	2
28	12-N-3	549	328	77	19	4	0	3	1	2	0
28	13-O-10	60	74	79	0	2	8	0	2	0	0

29	13-O-5	923	637	42	12	33	27	14	13	5	2
29	12-N-3	549	328	77	19	4	0	3	1	2	0
29	10-P-1	39	62	46	0	0	0	0	0	0	6

30	13-O-5	923	637	42	12	33	27	14	13	5	2
30	12-N-3	549	328	77	19	4	0	3	1	2	0
30	11-O-10	404	208	6	16	4	0	0	0	0	0

31	13-O-5	923	637	42	12	33	27	14	13	5	2
31	11-N-1	865	323	59	17	35	0	0	0	4	0
31	11-N-9	528	198	13	0	19	0	0	0	0	0

32	13-O-5	923	637	42	12	33	27	14	13	5	2
32	11-N-1	865	323	59	17	35	0	0	0	4	0
32	13-O-10	60	74	79	0	2	8	0	2	0	0

33	13-O-5	923	637	42	12	33	27	14	13	5	2
33	11-N-1	865	323	59	17	35	0	0	0	4	0
33	10-P-1	39	62	46	0	0	0	0	0	0	6

34	13-O-5	923	637	42	12	33	27	14	13	5	2
34	11-N-1	865	323	59	17	35	0	0	0	4	0
34	11-O-10	404	208	6	16	4	0	0	0	0	0

35	13-O-5	923	637	42	12	33	27	14	13	5	2
35	11-N-1	865	323	59	17	35	0	0	0	4	0
35	12-N-3	549	328	77	19	4	0	3	1	2	0

36	12-O-5	204	156	42	7	8	4	2	1	0	0
36	13-O-10	60	74	79	0	2	8	0	2	0	0
36	11-N-9	528	198	13	0	19	0	0	0	0	0

37	12-O-5	204	156	42	7	8	4	2	1	0	0
37	10-P-1	39	62	46	0	0	0	0	0	0	6
37	11-N-9	528	198	13	0	19	0	0	0	0	0

38	12-O-5	204	156	42	7	8	4	2	1	0	0
38	10-P-1	39	62	46	0	0	0	0	0	0	6
38	13-O-10	60	74	79	0	2	8	0	2	0	0

39	12-O-5	204	156	42	7	8	4	2	1	0	0
39	11-O-10	404	208	6	16	4	0	0	0	0	0
39	11-N-9	528	198	13	0	19	0	0	0	0	0

40	12-O-5	204	156	42	7	8	4	2	1	0	0
40	11-O-10	404	208	6	16	4	0	0	0	0	0
40	13-O-10	60	74	79	0	2	8	0	2	0	0

41	12-O-5	204	156	42	7	8	4	2	1	0	0
41	11-O-10	404	208	6	16	4	0	0	0	0	0
41	10-P-1	39	62	46	0	0	0	0	0	0	6

42	12-O-5	204	156	42	7	8	4	2	1	0	0
42	12-N-3	549	328	77	19	4	0	3	1	2	0
42	11-N-9	528	198	13	0	19	0	0	0	0	0

43	12-O-5	204	156	42	7	8	4	2	1	0	0
43	12-N-3	549	328	77	19	4	0	3	1	2	0
43	13-O-10	60	74	79	0	2	8	0	2	0	0

44	12-O-5	204	156	42	7	8	4	2	1	0	0
44	12-N-3	549	328	77	19	4	0	3	1	2	0
44	10-P-1	39	62	46	0	0	0	0	0	0	6

45	12-O-5	204	156	42	7	8	4	2	1	0	0
45	12-N-3	549	328	77	19	4	0	3	1	2	0
45	11-O-10	404	208	6	16	4	0	0	0	0	0

46	12-O-5	204	156	42	7	8	4	2	1	0	0
46	11-N-1	865	323	59	17	35	0	0	0	4	0
46	11-N-9	528	198	13	0	19	0	0	0	0	0

47	12-O-5	204	156	42	7	8	4	2	1	0	0
47	11-N-1	865	323	59	17	35	0	0	0	4	0
47	13-O-10	60	74	79	0	2	8	0	2	0	0

48	12-O-5	204	156	42	7	8	4	2	1	0	0
48	11-N-1	865	323	59	17	35	0	0	0	4	0
48	10-P-1	39	62	46	0	0	0	0	0	0	6

49	12-O-5	204	156	42	7	8	4	2	1	0	0
49	11-N-1	865	323	59	17	35	0	0	0	4	0
49	11-O-10	404	208	6	16	4	0	0	0	0	0

50	12-O-5	204	156	42	7	8	4	2	1	0	0
50	11-N-1	865	323	59	17	35	0	0	0	4	0
50	12-N-3	549	328	77	19	4	0	3	1	2	0

51	12-O-5	204	156	42	7	8	4	2	1	0	0
51	13-O-5	923	637	42	12	33	27	14	13	5	2
51	11-N-9	528	198	13	0	19	0	0	0	0	0

52	12-O-5	204	156	42	7	8	4	2	1	0	0
52	13-O-5	923	637	42	12	33	27	14	13	5	2
52	13-O-10	60	74	79	0	2	8	0	2	0	0

53	12-O-5	204	156	42	7	8	4	2	1	0	0
53	13-O-5	923	637	42	12	33	27	14	13	5	2
53	10-P-1	39	62	46	0	0	0	0	0	0	6

54	12-O-5	204	156	42	7	8	4	2	1	0	0
54	13-O-5	923	637	42	12	33	27	14	13	5	2
54	11-O-10	404	208	6	16	4	0	0	0	0	0

55	12-O-5	204	156	42	7	8	4	2	1	0	0
55	13-O-5	923	637	42	12	33	27	14	13	5	2
55	12-N-3	549	328	77	19	4	0	3	1	2	0

56	12-O-5	204	156	42	7	8	4	2	1	0	0
56	13-O-5	923	637	42	12	33	27	14	13	5	2
56	11-N-1	865	323	59	17	35	0	0	0	4	0

57	11-N-4	764	470	18	5	9	0	0	0	0	0
57	13-O-10	60	74	79	0	2	8	0	2	0	0
